class, main_axis, max_defect, min_defect, area_ratio
1, 124.169, 11971, 1413, 0.3632776373389235
1, 131.244, 11538, 1534, 0.36208470885720306
1, 2.0, 32171, 32171, 1666.75
1, 140.801, 13884, 162, 0.3627138024679594
1, 144.361, 13046, 201, 0.3645062285611121
1, 124.531, 12789, 1370, 0.3597348687734333
1, 3.0, 37326, 37326, 1091.0
1, 144.128, 12326, 1536, 0.35982117910030736
1, 132.231, 13260, 1448, 0.3619176667957156
1, 102.786, 10014, 1235, 0.3622694291459044
1, 130.541, 12844, 1481, 0.36442687747035574
1, 128.515, 12570, 1520, 0.3624964049467932
1, 128.705, 13206, 1469, 0.36346176230939353
1, 144.586, 13464, 1687, 0.36147757255936674
1, 135.34, 12728, 1473, 0.3635282457879088
1, 128.876, 12083, 114, 0.36351139041633934
1, 116.017, 11666, 1319, 0.3605501266739052
1, 115.603, 11704, 1256, 0.36319595083152567
1, 113.741, 11177, 162, 0.36239266482316984
1, 139.435, 12010, 1622, 0.36225753821983203
1, 115.974, 11344, 1377, 0.36120567375886525
1, 137.186, 13529, 1622, 0.3657467370728305
1, 127.142, 12217, 114, 0.3656041161511621
1, 104.561, 10316, 114, 0.3621897431462423
1, 139.832, 13579, 114, 0.3642494902493857
1, 129.838, 12872, 1446, 0.3654912516823688
1, 105.119, 10582, 1149, 0.3616846935431006
1, 113.278, 11312, 1360, 0.3615798118560549
1, 129.402, 12900, 114, 0.3652655588139459
1, 125.674, 12548, 1439, 0.3619356118199246
1, 114.11, 10477, 114, 0.36368769156315534
1, 136.125, 13042, 1536, 0.3633483611551115
1, 120.254, 13026, 1428, 0.36060906984442237
1, 112.254, 11165, 1316, 0.36099736765136003
1, 132.231, 12433, 114, 0.36483490841208727
1, 108.724, 10596, 1267, 0.3606584227336008
1, 140.52, 13383, 1618, 0.36368030937802126
1, 121.709, 12038, 1448, 0.3616800442845281
1, 132.981, 12906, 1580, 0.3641227380015736
1, 134.536, 13199, 1506, 0.36363636363636365
1, 131.229, 13716, 1516, 0.3629634016344901
2, 106.32, 9241, 958, 0.3797825632448254
2, 105.802, 9188, 1024, 0.37410960205147686
2, 116.108, 10639, 951, 0.37778530881979155
2, 94.921, 8936, 114, 0.3728698023176551
2, 116.297, 10150, 142, 0.3752577319587629
2, 96.13, 9074, 186, 0.377589268100217
2, 94.021, 8928, 162, 0.3764977927265083
2, 100.896, 9151, 1089, 0.3754111046624105
2, 98.005, 9098, 114, 0.37546232695762444
2, 118.87, 11024, 114, 0.37619648289678714
2, 131.015, 10199, 114, 0.3773050792623746
2, 94.069, 8441, 142, 0.3714759535655058
